num_pushers,language,language_type,iso2_code,year,quarter
2066,HTML,markup,AE,2020,1
1627,CSS,markup,AE,2020,1
288,Jupyter Notebook,markup,AE,2020,1
108,Vue,markup,AE,2020,1
101,HTML,markup,AF,2020,1
983,HTML,markup,AL,2020,1
855,CSS,markup,AL,2020,1
1867,HTML,markup,AM,2020,1
1454,CSS,markup,AM,2020,1
175,Vue,markup,AM,2020,1
107,Jupyter Notebook,markup,AM,2020,1
193,HTML,markup,AO,2020,1
159,CSS,markup,AO,2020,1
13063,HTML,markup,AR,2020,1
11029,CSS,markup,AR,2020,1
1016,Vue,markup,AR,2020,1
750,Jupyter Notebook,markup,AR,2020,1
333,TeX,markup,AR,2020,1
225,Roff,markup,AR,2020,1
6167,HTML,markup,AT,2020,1
5104,CSS,markup,AT,2020,1
653,Jupyter Notebook,markup,AT,2020,1
514,TeX,markup,AT,2020,1
435,Roff,markup,AT,2020,1
421,Vue,markup,AT,2020,1
122,Rich Text Format,markup,AT,2020,1
20825,HTML,markup,AU,2020,1
17199,CSS,markup,AU,2020,1
2279,Jupyter Notebook,markup,AU,2020,1
1115,Vue,markup,AU,2020,1
978,TeX,markup,AU,2020,1
934,Roff,markup,AU,2020,1
368,Rich Text Format,markup,AU,2020,1
129,Vim Snippet,markup,AU,2020,1
1104,HTML,markup,AZ,2020,1
918,CSS,markup,AZ,2020,1
1577,HTML,markup,BA,2020,1
1335,CSS,markup,BA,2020,1
127,Vue,markup,BA,2020,1
10169,HTML,markup,BD,2020,1
8294,CSS,markup,BD,2020,1
1362,Vue,markup,BD,2020,1
732,Jupyter Notebook,markup,BD,2020,1
111,Roff,markup,BD,2020,1
9120,HTML,markup,BE,2020,1
7822,CSS,markup,BE,2020,1
865,Jupyter Notebook,markup,BE,2020,1
635,Vue,markup,BE,2020,1
598,TeX,markup,BE,2020,1
394,Roff,markup,BE,2020,1
164,Rich Text Format,markup,BE,2020,1
4901,HTML,markup,BG,2020,1
4151,CSS,markup,BG,2020,1
325,Vue,markup,BG,2020,1
178,Jupyter Notebook,markup,BG,2020,1
143,Roff,markup,BG,2020,1
124,HTML,markup,BH,2020,1
101,CSS,markup,BH,2020,1
152,HTML,markup,BJ,2020,1
119,CSS,markup,BJ,2020,1
1348,HTML,markup,BO,2020,1
1071,CSS,markup,BO,2020,1
193,Vue,markup,BO,2020,1
75302,HTML,markup,BR,2020,1
61471,CSS,markup,BR,2020,1
5174,Vue,markup,BR,2020,1
5101,Jupyter Notebook,markup,BR,2020,1
1441,TeX,markup,BR,2020,1
1172,Roff,markup,BR,2020,1
380,Rich Text Format,markup,BR,2020,1
197,Vim Snippet,markup,BR,2020,1
138,PostScript,markup,BR,2020,1
9933,HTML,markup,BY,2020,1
8355,CSS,markup,BY,2020,1
441,Vue,markup,BY,2020,1
220,Jupyter Notebook,markup,BY,2020,1
153,Roff,markup,BY,2020,1
102,TeX,markup,BY,2020,1
51274,HTML,markup,CA,2020,1
42964,CSS,markup,CA,2020,1
6802,Jupyter Notebook,markup,CA,2020,1
2416,Vue,markup,CA,2020,1
2407,TeX,markup,CA,2020,1
1873,Roff,markup,CA,2020,1
854,Rich Text Format,markup,CA,2020,1
260,PostScript,markup,CA,2020,1
