num_pushers,language,language_type,iso2_code,year,quarter
4006,HTML,markup,AE,2022,1
3112,CSS,markup,AE,2022,1
834,SCSS,markup,AE,2022,1
594,Jupyter Notebook,markup,AE,2022,1
198,Vue,markup,AE,2022,1
156,Less,markup,AE,2022,1
121,Blade,markup,AE,2022,1
105,EJS,markup,AE,2022,1
3541,JavaScript,programming,AE,2022,1
1817,Python,programming,AE,2022,1
1627,Shell,programming,AE,2022,1
901,Java,programming,AE,2022,1
825,Dockerfile,programming,AE,2022,1
786,TypeScript,programming,AE,2022,1
543,PHP,programming,AE,2022,1
522,Makefile,programming,AE,2022,1
514,Ruby,programming,AE,2022,1
431,C,programming,AE,2022,1
426,C++,programming,AE,2022,1
397,C#,programming,AE,2022,1
340,Objective-C,programming,AE,2022,1
327,Swift,programming,AE,2022,1
321,Kotlin,programming,AE,2022,1
281,Batchfile,programming,AE,2022,1
240,Go,programming,AE,2022,1
196,Dart,programming,AE,2022,1
177,Solidity,programming,AE,2022,1
176,CMake,programming,AE,2022,1
153,Procfile,programming,AE,2022,1
145,PowerShell,programming,AE,2022,1
348,HTML,markup,AF,2022,1
259,CSS,markup,AF,2022,1
233,JavaScript,programming,AF,2022,1
1443,HTML,markup,AL,2022,1
1294,CSS,markup,AL,2022,1
274,SCSS,markup,AL,2022,1
109,Vue,markup,AL,2022,1
1242,JavaScript,programming,AL,2022,1
310,Shell,programming,AL,2022,1
303,Java,programming,AL,2022,1
290,PHP,programming,AL,2022,1
276,TypeScript,programming,AL,2022,1
270,Python,programming,AL,2022,1
202,C#,programming,AL,2022,1
117,Dockerfile,programming,AL,2022,1
108,Hack,programming,AL,2022,1
2825,HTML,markup,AM,2022,1
2214,CSS,markup,AM,2022,1
676,SCSS,markup,AM,2022,1
173,Blade,markup,AM,2022,1
159,Vue,markup,AM,2022,1
123,Jupyter Notebook,markup,AM,2022,1
2798,JavaScript,programming,AM,2022,1
882,Shell,programming,AM,2022,1
689,Python,programming,AM,2022,1
629,TypeScript,programming,AM,2022,1
573,Java,programming,AM,2022,1
381,PHP,programming,AM,2022,1
348,Dockerfile,programming,AM,2022,1
278,C++,programming,AM,2022,1
273,C#,programming,AM,2022,1
235,C,programming,AM,2022,1
229,Makefile,programming,AM,2022,1
197,Ruby,programming,AM,2022,1
132,Kotlin,programming,AM,2022,1
127,Swift,programming,AM,2022,1
701,HTML,markup,AO,2022,1
595,CSS,markup,AO,2022,1
125,SCSS,markup,AO,2022,1
577,JavaScript,programming,AO,2022,1
197,Shell,programming,AO,2022,1
190,PHP,programming,AO,2022,1
189,TypeScript,programming,AO,2022,1
132,Java,programming,AO,2022,1
38896,HTML,markup,AR,2022,1
32999,CSS,markup,AR,2022,1
8935,SCSS,markup,AR,2022,1
1917,EJS,markup,AR,2022,1
1808,Nunjucks,markup,AR,2022,1
1547,Jupyter Notebook,markup,AR,2022,1
1004,Handlebars,markup,AR,2022,1
945,Vue,markup,AR,2022,1
806,Less,markup,AR,2022,1
656,Blade,markup,AR,2022,1
574,Pug,markup,AR,2022,1
399,TeX,markup,AR,2022,1
269,Roff,markup,AR,2022,1
203,Sass,markup,AR,2022,1
135,Mustache,markup,AR,2022,1
128,Svelte,markup,AR,2022,1
107,Rich Text Format,markup,AR,2022,1
105,Twig,markup,AR,2022,1
104,Jinja,markup,AR,2022,1
32990,JavaScript,programming,AR,2022,1
8179,Shell,programming,AR,2022,1
7173,Python,programming,AR,2022,1
6060,TypeScript,programming,AR,2022,1
4897,Java,programming,AR,2022,1
2978,PHP,programming,AR,2022,1
2793,Dockerfile,programming,AR,2022,1
2575,C#,programming,AR,2022,1
2069,C,programming,AR,2022,1
1764,Ruby,programming,AR,2022,1
1763,Makefile,programming,AR,2022,1
