num_pushers,language,language_type,iso2_code,year,quarter
2066,HTML,markup,AE,2020,1
1627,CSS,markup,AE,2020,1
288,Jupyter Notebook,markup,AE,2020,1
108,Vue,markup,AE,2020,1
1734,JavaScript,programming,AE,2020,1
816,Python,programming,AE,2020,1
712,Shell,programming,AE,2020,1
685,Java,programming,AE,2020,1
377,Ruby,programming,AE,2020,1
373,Dockerfile,programming,AE,2020,1
354,PHP,programming,AE,2020,1
308,TypeScript,programming,AE,2020,1
295,C#,programming,AE,2020,1
242,Makefile,programming,AE,2020,1
238,C++,programming,AE,2020,1
195,Objective-C,programming,AE,2020,1
192,C,programming,AE,2020,1
178,Swift,programming,AE,2020,1
157,Kotlin,programming,AE,2020,1
139,Batchfile,programming,AE,2020,1
129,TSQL,programming,AE,2020,1
122,PowerShell,programming,AE,2020,1
118,Go,programming,AE,2020,1
101,HTML,markup,AF,2020,1
983,HTML,markup,AL,2020,1
855,CSS,markup,AL,2020,1
847,JavaScript,programming,AL,2020,1
339,Java,programming,AL,2020,1
238,PHP,programming,AL,2020,1
194,Python,programming,AL,2020,1
167,TypeScript,programming,AL,2020,1
153,Shell,programming,AL,2020,1
140,C#,programming,AL,2020,1
1867,HTML,markup,AM,2020,1
1454,CSS,markup,AM,2020,1
175,Vue,markup,AM,2020,1
107,Jupyter Notebook,markup,AM,2020,1
1624,JavaScript,programming,AM,2020,1
508,Java,programming,AM,2020,1
468,Python,programming,AM,2020,1
376,PHP,programming,AM,2020,1
313,Shell,programming,AM,2020,1
250,TypeScript,programming,AM,2020,1
214,C#,programming,AM,2020,1
183,C++,programming,AM,2020,1
171,Ruby,programming,AM,2020,1
141,Dockerfile,programming,AM,2020,1
130,Makefile,programming,AM,2020,1
121,TSQL,programming,AM,2020,1
116,C,programming,AM,2020,1
106,Kotlin,programming,AM,2020,1
193,HTML,markup,AO,2020,1
159,CSS,markup,AO,2020,1
184,JavaScript,programming,AO,2020,1
13063,HTML,markup,AR,2020,1
11029,CSS,markup,AR,2020,1
1016,Vue,markup,AR,2020,1
750,Jupyter Notebook,markup,AR,2020,1
333,TeX,markup,AR,2020,1
225,Roff,markup,AR,2020,1
11592,JavaScript,programming,AR,2020,1
3671,Python,programming,AR,2020,1
3407,Java,programming,AR,2020,1
3253,Shell,programming,AR,2020,1
2638,PHP,programming,AR,2020,1
2331,TypeScript,programming,AR,2020,1
1783,C#,programming,AR,2020,1
1689,Dockerfile,programming,AR,2020,1
1504,TSQL,programming,AR,2020,1
1482,Ruby,programming,AR,2020,1
1327,C,programming,AR,2020,1
1325,C++,programming,AR,2020,1
1255,Makefile,programming,AR,2020,1
841,Batchfile,programming,AR,2020,1
770,Objective-C,programming,AR,2020,1
709,Hack,programming,AR,2020,1
447,Go,programming,AR,2020,1
420,Kotlin,programming,AR,2020,1
348,PowerShell,programming,AR,2020,1
332,Swift,programming,AR,2020,1
293,CMake,programming,AR,2020,1
259,Perl,programming,AR,2020,1
251,R,programming,AR,2020,1
240,Vim Script,programming,AR,2020,1
229,Assembly,programming,AR,2020,1
218,CoffeeScript,programming,AR,2020,1
212,ShaderLab,programming,AR,2020,1
188,HLSL,programming,AR,2020,1
183,Dart,programming,AR,2020,1
182,Smarty,programming,AR,2020,1
